CÓDIGO,NOME
A81,INFECÇÕES POR VÍRUS ATÍPICOS DO SISTEMA NERVOSO CENTRAL
A82,RAIVA
A83,ENCEFALITE POR VÍRUS TRANSMITIDOS POR MOSQUITOS
A84,ENCEFALITE POR VÍRUS TRANSMITIDO POR CARRAPATOS
A85,OUTRAS ENCEFALITES VIRAIS, NÃO CLASSIFICADAS EM OUTRA PARTE
A86,ENCEFALITE VIRAL, NÃO ESPECIFICADA
A87,MENINGITE VIRAL
A88,OUTRAS INFECÇÕES VIRAIS DO SISTEMA NERVOSO CENTRAL NÃO CLASSIFICADAS EM OUTRA PARTE
A89,INFECÇÕES VIRAIS NÃO ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL
A90,DENGUE [DENGUE CLÁSSICO]
A91,FEBRE HEMORRÁGICA DEVIDA AO VÍRUS DO DENGUE
A92,OUTRAS FEBRES VIRAIS TRANSMITIDAS POR MOSQUITOS
A93,OUTRAS FEBRES POR VÍRUS TRANSMITIDAS POR ARTRÓPODES NÃO CLASSIFICADAS EM OUTRA PARTE
A94,FEBRE VIRAL TRANSMITIDA POR ARTRÓPODES, NÃO ESPECIFICADA
A95,FEBRE AMARELA
A96,FEBRE HEMORRÁGICA POR ARENAVÍRUS
A98,OUTRAS FEBRES HEMORRÁGICAS POR VÍRUS, NÃO CLASSIFICADAS EM OUTRA PARTE
A99,FEBRES HEMORRÁGICAS VIRAIS NÃO ESPECIFICADAS
B00,INFECÇÕES PELO VÍRUS DO HERPES [HERPES SIMPLES]
B01,VARICELA [CATAPORA]
B02,HERPES ZOSTER [ZONA]
B03,VARÍOLA
B04,VARÍOLA DOS MACACOS [MONKEYPOX]
B05,SARAMPO
B06,RUBÉOLA
B07,VERRUGAS DE ORIGEM VIRAL
B08,OUTRAS INFECÇÕES VIRAIS CARACTERIZADAS POR LESÕES DA PELE E DAS MEMBRANAS MUCOSAS, NÃO CLASSIFICADAS EM OUTRA PARTE
B09,INFECÇÃO VIRAL NÃO ESPECIFICADA CARACTERIZADA POR LESÕES DA PELE E MEMBRANAS MUCOSAS
B15,HEPATITE AGUDA A
B16,HEPATITE AGUDA B
B17,OUTRAS HEPATITES VIRAIS AGUDAS
B18,HEPATITE VIRAL CRÔNICA
B19,HEPATITE VIRAL NÃO ESPECIFICADA
B20,DOENÇA PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV], RESULTANDO EM DOENÇAS INFECCIOSAS E PARASITÁRIAS
B21,DOENÇA PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV], RESULTANDO EM NEOPLASIAS MALIGNAS
B22,DOENÇA PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV] RESULTANDO EM OUTRAS DOENÇAS ESPECIFICADAS
B23,DOENÇA PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV] RESULTANDO EM OUTRAS DOENÇAS
B24,DOENÇA PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV] NÃO ESPECIFICADA
B25,DOENÇA POR CITOMEGALOVÍRUS
B26,CAXUMBA [PAROTIDITE EPIDÊMICA]
B27,MONONUCLEOSE INFECCIOSA
B30,CONJUNTIVITE VIRAL
B33,OUTRAS DOENÇAS POR VÍRUS NÃO CLASSIFICADA EM OUTRA PARTE
B34,DOENÇAS POR VÍRUS, DE LOCALIZAÇÃO NÃO ESPECIFICADA
B35,DERMATOFITOSE
B36,OUTRAS MICOSES SUPERFICIAIS
B37,CANDIDÍASE
B38,COCCIDIOIDOMICOSE
B39,HISTOPLASMOSE
B40,BLASTOMICOSE
B41,PARACOCCIDIOIDOMICOSE
B42,ESPOROTRICOSE
B43,CROMOMICOSE E ABSCESSO FEOMICÓTICO
B44,ASPERGILOSE
B45,CRIPTOCOCOSE
B46,ZIGOMICOSE
B47,MICETOMA
B48,OUTRAS MICOSES, NÃO CLASSIFICADAS EM OUTRA PARTE
B49,MICOSE NÃO ESPECIFICADA
B50,MALÁRIA POR PLASMODIUM FALCIPARUM
B51,MALÁRIA POR PLASMODIUM VIVAX
B52,MALÁRIA POR PLASMODIUM MALARIAE
B53,OUTRAS FORMAS DE MALÁRIA CONFIRMADAS POR EXAMES PARASITOLÓGICOS
B54,MALÁRIA NÃO ESPECIFICADA
B55,LEISHMANIOSE
B56,TRIPANOSSOMÍASE AFRICANA
B57,DOENÇA DE CHAGAS
B58,TOXOPLASMOSE
B59,PNEUMOCISTOSE
B60,OUTRAS DOENÇAS DEVIDAS A PROTOZOÁRIOS, NÃO CLASSIFICADAS EM OUTRA PARTE
B64,DOENÇA NÃO ESPECIFICADA DEVIDA A PROTOZOÁRIOS
B65,ESQUISTOSSOMOSE [BILHARZIOSE] [SCHISTOSOMÍASE]
B66,OUTRAS INFESTAÇÕES POR TREMATÓDEOS
B67,EQUINOCOCOSE
B68,INFESTAÇÃO POR TAENIA
B69,CISTICERCOSE
B70,DIFILOBOTRÍASE E ESPARGANOSE
B71,OUTRAS INFESTAÇÕES POR CESTÓIDES
B72,DRACONTÍASE
B73,ONCOCERCOSE
B74,FILARIOSE
B75,TRIQUINOSE
B76,ANCILOSTOMÍASE
B77,ASCARIDÍASE
B78,ESTRONGILOIDÍASE
B79,TRICURÍASE
B80,OXIURÍASE
B81,OUTRAS HELMINTÍASES INTESTINAIS, NÃO CLASSIFICADAS EM OUTRA PARTE
B82,PARASITOSE INTESTINAL NÃO ESPECIFICADA
B83,OUTRAS HELMINTÍASES
B85,PEDICULOSE E FTIRÍASE
B86,ESCABIOSE [SARNA]
B87,MIÍASE
B88,OUTRAS INFESTAÇÕES
B89,DOENÇA PARASITÁRIA NÃO ESPECIFICADA
B90,SEQÜELAS DE TUBERCULOSE
B91,SEQÜELAS DE POLIOMIELITE
B92,SEQÜELAS DE HANSENÍASE [LEPRA]
B94,SEQÜELAS DE OUTRAS DOENÇAS INFECCIOSAS E PARASITÁRIAS E DAS NÃO ESPECIFICADAS
B95,ESTREPTOCOCOS E ESTAFILOCOCOS COMO CAUSA DE DOENÇAS CLASSIFICADAS EM OUTROS CAPÍTULOS
B96,OUTROS AGENTES BACTERIANOS, COMO CAUSA DE DOENÇAS CLASSIFICADAS EM OUTROS CAPÍTULOS
B97,VÍRUS COMO CAUSA DE DOENÇAS CLASSIFICADAS EM OUTROS CAPÍTULOS
B99,DOENÇAS INFECCIOSAS, OUTRAS E AS NÃO ESPECIFICADAS
C00,NEOPLASIA MALIGNA DO LÁBIO
C01,NEOPLASIA MALIGNA DA BASE DA LÍNGUA
C02,NEOPLASIA MALIGNA DE OUTRAS PARTES E DE PARTES NÃO ESPECIFICADAS DA LÍNGUA
C03,NEOPLASIA MALIGNA DA GENGIVA
C04,NEOPLASIA MALIGNA DO ASSOALHO DA BOCA
C05,NEOPLASIA MALIGNA DO PALATO
C06,NEOPLASIA MALIGNA DE OUTRAS PARTES E DE PARTES NÃO ESPECIFICADAS DA BOCA
C07,NEOPLASIA MALIGNA DA GLÂNDULA PARÓTIDA
C08,NEOPLASIA MALIGNA DE OUTRAS GLÂNDULAS SALIVARES MAIORES E AS NÃO ESPECIFICADAS
C09,NEOPLASIA MALIGNA DA AMÍGDALA
C10,NEOPLASIA MALIGNA DA OROFARINGE
C11,NEOPLASIA MALIGNA DA NASOFARINGE
C12,NEOPLASIA MALIGNA DO SEIO PIRIFORME
C13,NEOPLASIA MALIGNA DA HIPOFARINGE
C14,NEOPLASIA MALIGNA DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES MAL DEFINIDA, DO LÁBIO, CAVIDADE ORAL E FARINGE
C15,NEOPLASIA MALIGNA DO ESÔFAGO
C16,NEOPLASIA MALIGNA DO ESTÔMAGO
C17,NEOPLASIA MALIGNA DO INTESTINO DELGADO
C18,NEOPLASIA MALIGNA DO CÓLON
C19,NEOPLASIA MALIGNA DA JUNÇÃO RETOSSIGMÓIDE
C20,NEOPLASIA MALIGNA DO RETO
C21,NEOPLASIA MALIGNA DO ÂNUS E DO CANAL ANAL
C22,NEOPLASIA MALIGNA DO FÍGADO E DAS VIAS BILIARES INTRA-HEPÁTICAS
C23,NEOPLASIA MALIGNA DA VESÍCULA BILIAR
C24,NEOPLASIA MALIGNA DE OUTRAS PARTES, E DE PARTES NÃO ESPECIFICADAS DAS VIAS BILIARES
C25,NEOPLASIA MALIGNA DO PÂNCREAS
C26,NEOPLASIA MALIGNA DE OUTROS ÓRGÃOS DIGESTIVOS E DE LOCALIZAÇÕES MAL DEFINIDAS NO APARELHO DIGESTIVO
C30,NEOPLASIA MALIGNA DA CAVIDADE NASAL E DO OUVIDO MÉDIO
C31,NEOPLASIA MALIGNA DOS SEIOS DA FACE
C32,NEOPLASIA MALIGNA DA LARINGE
C33,NEOPLASIA MALIGNA DA TRAQUÉIA
C34,NEOPLASIA MALIGNA DOS BRÔNQUIOS E DOS PULMÕES
C37,NEOPLASIA MALIGNA DO TIMO
C38,NEOPLASIA MALIGNA DO CORAÇÃO, MEDIASTINO E PLEURA
C39,NEOPLASIA MALIGNA DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES MAL DEFINIDAS DO APARELHO RESPIRATÓRIO E DOS ÓRGÃOS INTRATORÁCICOS
C40,NEOPLASIA MALIGNA DOS OSSOS E CARTILAGENS ARTICULARES DOS MEMBROS
C41,NEOPLASIA MALIGNA DOS OSSOS E DAS CARTILAGENS ARTICULARES DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES NÃO ESPECIFICADAS
C43,MELANOMA MALIGNO DA PELE
C44,OUTRAS NEOPLASIAS MALIGNAS DA PELE
C45,MESOTELIOMA
C46,SARCOMA DE KAPOSI
C47,NEOPLASIA MALIGNA DOS NERVOS PERIFÉRICOS E DO SISTEMA NERVOSO AUTÔNOMO
C48,NEOPLASIA MALIGNA DOS TECIDOS MOLES DO RETROPERITÔNIO E DO PERITÔNIO
C49,NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E DE OUTROS TECIDOS MOLES
C50,NEOPLASIA MALIGNA DA MAMA
C51,NEOPLASIA MALIGNA DA VULVA
C52,NEOPLASIA MALIGNA DA VAGINA
C53,NEOPLASIA MALIGNA DO COLO DO ÚTERO
C54,NEOPLASIA MALIGNA DO CORPO DO ÚTERO
C55,NEOPLASIA MALIGNA DO ÚTERO, PORÇÃO NÃO ESPECIFICADA
C56,NEOPLASIA MALIGNA DO OVÁRIO
C57,NEOPLASIA MALIGNA DE OUTROS ÓRGÃOS GENITAIS FEMININOS E DOS NÃO ESPECIFICADOS
C58,NEOPLASIA MALIGNA DA PLACENTA
C60,NEOPLASIA MALIGNA DO PÊNIS
C61,NEOPLASIA MALIGNA DA PRÓSTATA
C62,NEOPLASIA MALIGNA DOS TESTÍCULOS
C63,NEOPLASIA MALIGNA DE OUTROS ÓRGÃOS GENITAIS MASCULINOS E DOS NÃO ESPECIFICADOS
C64,NEOPLASIA MALIGNA DO RIM, EXCETO PELVE RENAL
C65,NEOPLASIA MALIGNA DA PELVE RENAL
C66,NEOPLASIA MALIGNA DOS URETERES
C67,NEOPLASIA MALIGNA DA BEXIGA
C68,NEOPLASIA MALIGNA DE OUTROS ÓRGÃOS URINÁRIOS E DOS NÃO ESPECIFICADOS
C69,NEOPLASIA MALIGNA DO OLHO E ANEXOS
C70,NEOPLASIA MALIGNA DAS MENINGES
C71,NEOPLASIA MALIGNA DO ENCÉFALO
C72,NEOPLASIA MALIGNA DA MEDULA ESPINHAL, DOS NERVOS CRANIANOS E DE OUTRAS PARTES DO SISTEMA NERVOSO CENTRAL
C73,NEOPLASIA MALIGNA DA GLÂNDULA TIREÓIDE
C74,NEOPLASIA MALIGNA DA GLÂNDULA SUPRA-RENAL [GLÂNDULA ADRENAL]
C75,NEOPLASIA MALIGNA DE OUTRAS GLÂNDULAS ENDÓCRINAS E DE ESTRUTURAS RELACIONADAS
C76,NEOPLASIA MALIGNA DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES MAL DEFINIDAS
C77,NEOPLASIA MALIGNA SECUNDÁRIA E NÃO ESPECIFICADA DOS GÂNGLIOS LINFÁTICOS
C78,NEOPLASIA MALIGNA SECUNDÁRIA DOS ÓRGÃOS RESPIRATÓRIOS E DIGESTIVOS
C79,NEOPLASIA MALIGNA SECUNDÁRIA DE OUTRAS LOCALIZAÇÕES
C80,NEOPLASIA MALIGNA, SEM ESPECIFICAÇÃO DE LOCALIZAÇÃO
C81,DOENÇA DE HODGKIN
C82,LINFOMA NÃO-HODGKIN, FOLICULAR (NODULAR)
C83,LINFOMA NÃO-HODGKIN DIFUSO
C84,LINFOMAS DE CÉLULAS T CUTÂNEAS E PERIFÉRICAS
C85,LINFOMA NÃO-HODGKIN DE OUTROS TIPOS E DE TIPO NÃO ESPECIFICADO
C88,DOENÇAS IMUNOPROLIFERATIVAS MALIGNAS
C90,MIELOMA MÚLTIPLO E NEOPLASIAS MALIGNAS DE PLASMÓCITOS
C91,LEUCEMIA LINFÓIDE
C92,LEUCEMIA MIELÓIDE
C93,LEUCEMIA MONOCÍTICA
C94,OUTRAS LEUCEMIAS DE CÉLULAS DE TIPO ESPECIFICADO
C95,LEUCEMIA DE TIPO CELULAR NÃO ESPECIFICADO
C96,OUTRAS NEOPLASIAS MALIGNAS E AS NÃO ESPECIFICADAS DOS TECIDOS LINFÁTICO, HEMATOPOÉTICO E TECIDOS CORRELATOS
C97,NEOPLASIAS MALIGNAS DE LOCALIZAÇÕES MÚLTIPLAS INDEPENDENTES (PRIMÁRIAS)
D00,CARCINOMA IN SITU DA CAVIDADE ORAL, DO ESÔFAGO E DO ESTÔMAGO
D01,CARCINOMA IN SITU DE OUTROS ÓRGÃOS DIGESTIVOS
D02,CARCINOMA IN SITU DO OUVIDO MÉDIO E DO APARELHO RESPIRATÓRIO
D03,MELANOMA IN SITU
D04,CARCINOMA IN SITU DA PELE
D05,CARCINOMA IN SITU DA MAMA
D06,CARCINOMA IN SITU DO COLO DO ÚTERO (CÉRVIX)
D07,CARCINOMA IN SITU DE OUTROS ÓRGÃOS GENITAIS E DOS NÃO ESPECIFICADOS
D09,CARCINOMA IN SITU DE OUTRAS LOCALIZAÇÕES E DAS NÃO ESPECIFICADAS
D10,NEOPLASIA BENIGNA DA BOCA E DA FARINGE
D11,NEOPLASIA BENIGNA DE GLÂNDULAS SALIVARES MAIORES
D12,NEOPLASIA BENIGNA DO CÓLON, RETO, CANAL ANAL E ÂNUS
D13,NEOPLASIA BENIGNA DE OUTRAS PARTES E DE PARTES MAL DEFINIDAS DO APARELHO DIGESTIVO
D14,NEOPLASIA BENIGNA DO OUVIDO MÉDIO E DO APARELHO RESPIRATÓRIO
D15,NEOPLASIA BENIGNA DE OUTROS ÓRGÃOS INTRATORÁCICOS E DOS NÃO ESPECIFICADOS
D16,NEOPLASIA BENIGNA DE OSSO E DE CARTILAGEM ARTICULAR
D17,NEOPLASIA LIPOMATOSA BENIGNA
D18,HEMANGIOMA E LINFANGIOMA DE QUALQUER LOCALIZAÇÃO
D19,NEOPLASIA BENIGNA DE TECIDO MESOTELIAL
D20,NEOPLASIA BENIGNA DE TECIDO MOLE DO RETROPERITÔNIO E DO PERITÔNIO
D21,OUTRAS NEOPLASIAS BENIGNAS DO TECIDO CONJUNTIVO E DE OUTROS TECIDOS MOLES
D22,NEVOS MELANOCÍTICOS
D23,OUTRAS NEOPLASIAS BENIGNAS DA PELE
D24,NEOPLASIA BENIGNA DA MAMA
D25,LEIOMIOMA DO ÚTERO
D26,OUTRAS NEOPLASIAS BENIGNAS DO ÚTERO
D27,NEOPLASIA BENIGNA DO OVÁRIO
D28,NEOPLASIA BENIGNA DE OUTROS ÓRGÃOS GENITAIS FEMININOS E DE ÓRGÃOS NÃO ESPECIFICADOS
D29,NEOPLASIA BENIGNA DOS ÓRGÃOS GENITAIS MASCULINOS
D30,NEOPLASIA BENIGNA DOS ÓRGÃOS URINÁRIOS
D31,NEOPLASIA BENIGNA DO OLHO E ANEXOS
D32,NEOPLASIA BENIGNA DAS MENINGES
D33,NEOPLASIA BENIGNA DO ENCÉFALO E DE OUTRAS PARTES DO SISTEMA NERVOSO CENTRAL
D34,NEOPLASIA BENIGNA DA GLÂNDULA TIREÓIDE
D35,NEOPLASIA BENIGNA DE OUTRAS GLÂNDULAS ENDÓCRINAS E DAS NÃO ESPECIFICADAS
D36,NEOPLASIA BENIGNA DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES NÃO ESPECIFICADAS
D37,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DA CAVIDADE ORAL E DOS ÓRGÃOS DIGESTIVOS
D38,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DO OUVIDO MÉDIO E DOS ÓRGÃOS RESPIRATÓRIOS E INTRATORÁCICOS
D39,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DOS ÓRGÃOS GENITAIS FEMININOS
D40,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DOS ÓRGÃOS GENITAIS MASCULINOS
D41,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DOS ÓRGÃOS URINÁRIOS
D42,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DAS MENINGES
D43,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DO ENCÉFALO E DO SISTEMA NERVOSO CENTRAL
D44,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DAS GLÂNDULAS ENDÓCRINAS
D45,POLICITEMIA VERA
D46,SÍNDROMES MIELODISPLÁSICAS
D47,OUTRAS NEOPLASIAS DE COMPORTAMENTO INCERTO OU DESCONHECIDO DOS TECIDOS LINFÁTICO, HEMATOPOÉTICO E TECIDOS CORRELATOS
D48,NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES NÃO ESPECIFICADAS
D50,ANEMIA POR DEFICIÊNCIA DE FERRO
D51,ANEMIA POR DEFICIÊNCIA DE VITAMINA B12
D52,ANEMIA POR DEFICIÊNCIA DE FOLATO
D53,OUTRAS ANEMIAS NUTRICIONAIS
D55,ANEMIA DEVIDA A TRANSTORNOS ENZIMÁTICOS
D56,TALASSEMIA
D57,TRANSTORNOS FALCIFORMES
D58,OUTRAS ANEMIAS HEMOLÍTICAS HEREDITÁRIAS
D59,ANEMIA HEMOLÍTICA ADQUIRIDA
D60,APLASIA PURA DA SÉRIE VERMELHA, ADQUIRIDA [ERITROBLASTOPENIA]
D61,OUTRAS ANEMIAS APLÁSTICAS
D62,ANEMIA AGUDA PÓS-HEMORRÁGICA
D63,ANEMIA EM DOENÇAS CRÔNICAS CLASSIFICADAS EM OUTRA PARTE
D64,OUTRAS ANEMIAS
D65,COAGULAÇÃO INTRAVASCULAR DISSEMINADA [SÍNDROME DE DESFIBRINAÇÃO]
D66,DEFICIÊNCIA HEREDITÁRIA DO FATOR VIII
D67,DEFICIÊNCIA HEREDITÁRIA DO FATOR IX
D68,OUTROS DEFEITOS DA COAGULAÇÃO
D69,PÚRPURA E OUTRAS AFECÇÕES HEMORRÁGICAS
D70,AGRANULOCITOSE
D71,TRANSTORNOS FUNCIONAIS DOS NEUTRÓFILOS POLIMORFONUCLEARES
D72,OUTROS TRANSTORNOS DOS GLÓBULOS BRANCOS
D73,DOENÇAS DO BAÇO
D74,METEMOGLOBINEMIA
D75,OUTRAS DOENÇAS DO SANGUE E DOS ÓRGÃOS HEMATOPOÉTICOS
D76,ALGUMAS DOENÇAS QUE ENVOLVEM O TECIDO LINFORRETICULAR E O SISTEMA RETICULOHISTIOCÍTICO
D77,OUTROS TRANSTORNOS DO SANGUE E DOS ÓRGÃOS HEMATOPOÉTICOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
D80,IMUNODEFICIÊNCIA COM PREDOMINÂNCIA DE DEFEITOS DE ANTICORPOS
D81,DEFICIÊNCIAS IMUNITÁRIAS COMBINADAS
D82,"IMUNODEFICIÊNCIA ASSOCIADA COM OUTROS DEFEITOS ""MAJOR"""
D83,IMUNODEFICIÊNCIA COMUM VARIÁVEL
D84,OUTRAS IMUNODEFICIÊNCIAS
D86,SARCOIDOSE
D89,OUTROS TRANSTORNOS QUE COMPROMETEM O MECANISMO IMUNITÁRIO NÃO CLASSIFICADOS EM OUTRA PARTE
E00,SÍNDROME DE DEFICIÊNCIA CONGÊNITA DE IODO
E01,TRANSTORNOS TIREOIDIANOS E AFECÇÕES ASSOCIADAS, RELACIONADOS À DEFICIÊNCIA DE IODO
E02,HIPOTIREOIDISMO SUBCLÍNICO POR DEFICIÊNCIA DE IODO
E03,OUTROS HIPOTIREOIDISMOS
E04,OUTROS BÓCIOS NÃO-TÓXICOS
E05,TIREOTOXICOSE [HIPERTIREOIDISMO]
E06,TIREOIDITE
E07,OUTROS TRANSTORNOS DA TIREÓIDE
E10,DIABETES MELLITUS INSULINO-DEPENDENTE
E11,DIABETES MELLITUS NÃO-INSULINO-DEPENDENTE
E12,DIABETES MELLITUS RELACIONADO COM A DESNUTRIÇÃO
E13,OUTROS TIPOS ESPECIFICADOS DE DIABETES MELLITUS
E14,DIABETES MELLITUS NÃO ESPECIFICADO
E15,COMA HIPOGLICÊMICO NÃO-DIABÉTICO
E16,OUTROS TRANSTORNOS DA SECREÇÃO PANCREÁTICA INTERNA
E20,HIPOPARATIREOIDISMO
E21,HIPERPARATIREOIDISMO E OUTROS TRANSTORNOS DA GLÂNDULA PARATIREÓIDE
E22,HIPERFUNÇÃO DA HIPÓFISE
E23,HIPOFUNÇÃO E OUTROS TRANSTORNOS DA HIPÓFISE
E24,SÍNDROME DE CUSHING
E25,TRANSTORNOS ADRENOGENITAIS
E26,HIPERALDOSTERONISMO
E27,OUTROS TRANSTORNOS DA GLÂNDULA SUPRA-RENAL
E28,DISFUNÇÃO OVARIANA
E29,DISFUNÇÃO TESTICULAR
E30,TRANSTORNOS DA PUBERDADE NÃO CLASSIFICADOS EM OUTRA PARTE
E31,DISFUNÇÃO POLIGLANDULAR
E32,DOENÇAS DO TIMO
E34,OUTROS TRANSTORNOS ENDÓCRINOS
E35,TRANSTORNOS DAS GLÂNDULAS ENDÓCRINAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE
E40,KWASHIORKOR
E41,MARASMO NUTRICIONAL
E42,KWASHIORKOR MARASMÁTICO
E43,DESNUTRIÇÃO PROTÉICO-CALÓRICA GRAVE NÃO ESPECIFICADA
E44,DESNUTRIÇÃO PROTÉICO-CALÓRICA DE GRAUS MODERADO E LEVE
E45,ATRASO DO DESENVOLVIMENTO DEVIDO À DESNUTRIÇÃO PROTÉICO-CALÓRICA
E46,DESNUTRIÇÃO PROTÉICO-CALÓRICA NÃO ESPECIFICADA
E50,DEFICIÊNCIA DE VITAMINA A
E51,DEFICIÊNCIA DE TIAMINA
E52,DEFICIÊNCIA DE NIACINA [PELAGRA]
E53,DEFICIÊNCIA DE OUTRAS VITAMINAS DO GRUPO B
E54,DEFICIÊNCIA DE ÁCIDO ASCÓRBICO
E55,DEFICIÊNCIA DE VITAMINA D
E56,OUTRAS DEFICIÊNCIAS VITAMÍNICAS
E58,DEFICIÊNCIA DE CÁLCIO DA DIETA
E59,DEFICIÊNCIA DE SELÊNIO DA DIETA
E60,DEFICIÊNCIA DE ZINCO DA DIETA
E61,DEFICIÊNCIA DE OUTROS ELEMENTOS NUTRIENTES
E63,OUTRAS DEFICIÊNCIAS NUTRICIONAIS
E64,SEQÜELAS DE DESNUTRIÇÃO E DE OUTRAS DEFICIÊNCIAS NUTRICIONAIS
E65,ADIPOSIDADE LOCALIZADA
E66,OBESIDADE
E67,OUTRAS FORMAS DE HIPERALIMENTAÇÃO
E68,SEQÜELAS DE HIPERALIMENTAÇÃO
E70,DISTÚRBIOS DO METABOLISMO DE AMINOÁCIDOS AROMÁTICOS
